Fecha_reporte;MT;Tipo_Mineral;Tonelaje;Ali_Cu;Ali_Pb;Ali_Zn;Ali_Fe;NaCN;ZnSO4;PAX;F582;pH;Flo1_Cu;Flo1_Pb;Flo1_Zn;Flo1_Fe;Cu;Zn;Recup_Cu;CuSO4;SIPX;F582;pH;Flo2_Cu;Flo2_Pb;Flo2_Zn;Flo2_Fe;Cu;Zn;Recup_Zn
2-Ago-09;MT-1029;M4-M6;101464;2.17;0.01;6.6;10.67;100;250;80;15;10;27.41;0.15;8.75;18;90.37047993;10.20957852;85;350;35;10;11;0.99;0.01;50.6;3.84;4.774009863;86.35367834;84
2-Ago-09;MT-1030;M3;24105;1.22;0.01;1.53;16.4;30;250;17.5;10;10;17.1;0.07;5.02;20.49;49.93304968;12.15850706;48;200;10;10;11;13.89;0.01;30.25;15.82;46.86350226;84.65301449;80
2-Ago-09;MT-1031;M4-M6;27503;0.67;0.15;3.79;2.54;30;250;70;10;10;16.91;3.5;13.08;10.05;66.15393487;9.247365072;64;350;50;10;11;0.81;0.75;30.75;1.9;7.398113455;50.75505163;48
3-Ago-09;MT-1032;M6;0;1.51;0.01;4.35;13.18;30;200;35;15;9.9;24.18;0.17;7.27;19.4;61.06087039;6.194074409;59;300;35;15;11.1;5.35;0.01;45.65;8.08;31.5442924;90.81197122;89
3-Ago-09;MT-1033;M4A;0;2.04;0.03;7.05;9.61;20;200;45;15;10;21.98758621;0.421810345;8.508275862;19.40043103;77.08223675;8.808751095;75;300;35;15;11;2.71;0.02;47.6;5.89;17.06948823;88.54299033;87
11-Ago-09;MT-1034;M4A;53156;0.42;0.05;3.17;11.9;5;180;5;5;10;13.66;1.08;25.92;14.11;39.08362307;9.920155543;38.5;250;20;10;11;2.93;0.32;42.1;7.51;42.43809791;81.56611054;79.5
11-Ago-09;MT-1035;M4A;81518;0.7;0.02;3.32;12.8;10;180;5;5;10;19.17;0.53;14.98;19.67;65.798341;11.01748892;63;250;17.5;10;11;2.53;0.06;43;8.36;23.04764907;83.93682652;79.2
26-Ago-09;MT-1039;M6;20760;1.87;0.02;4.46;7.36;180;180;35;15;10;25.41;0.29;6.74;8.92;71.8;8.1;70;200;30;5;11.2;3.42;0.02;42.9;3.65;13.1;69.6;68
29-Ago-09;MT-1041;M6;93270;1.44;0.04;3.01;4.73;200;200;40;15;10.4;26.1;0.5;17.1;8.6;69.7;21.9;68;300;20;5;11;4.8;0.06;49.3;3.1;9.8;48.3;50
8-Set-09;MT-1043;M6;74779;2.4;0.02;2.33;5.97;300;250;35;5;10.7;34.8;0.44;4.06;10.24;77.9;9.5;66;300;25;5;11;4.47;0.05;45.6;3.36;6;64.1;63.3
